number_of_employees,tech_company,mental_health_benefits,mental_health_coverage_awareness,mental_health_official_communication,mental_health_resources,mental_health_anonymity,asking_for_leave_for_mental_health,discussing_mental_health_with_employer,discussing_physical_health_with_employer,discussing_mental_health_with_coworker,discussing_mental_health_with_supervisor,physical_same_mental,neg_consequences_open_mental_health,previous_employer,previous_employer_mental_health_benefits,previous_employer_mental_health_coverage_awareness,previous_employer_mental_health_official_communication,previous_employer_mental_health_resources,previous_employer_mental_health_anonymity,discussing_mental_health_with_previous_employer,discussing_physical_health_with_previous_employer,reveal_mental_diagnoses_previous_coworkers,reveal_mental_diagnoses_previous_supervisor,previous_employer_physical_same_mental,previous_employer_neg_consequences_open_mental_health,physical_health_interview,mental_health_interview,mental_health_career_impact,coworkers_perception_of_mental_health,share_mental_illness_loved_ones,current_or_previous_employment_unsupportive_response_mental_health,current_employment_less_likely_to_reveal_mental_health_issue,family_history_mental_health,past_history_mental_health,current_MH_disorder,at_any_point_diagnosed_MH_disorder,treatment_MH_disorder,interference_with_work_with_effective_treatment,interference_with_work_NOT_effective_treatment,gender,continent_residence,continent_work,work_position,remote_work,age_group
26-100,No,Not eligible for coverage / N/A,Missing,No,No,I don't know,Very difficult,Yes,No,No,Maybe,No,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,No,Yes,Maybe,Yes,Yes,Rarely,Often,Male,Europe,Europe,DevOps/SysAdmin,Never,20-29
26-100,Yes,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,Yes,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Supervisor/Team Lead,Sometimes,30-39
6-25,No,No,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Yes,Yes,"No, none did",I was aware of some,None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Yes,Rarely,Often,Female,North America,North America,Supervisor/Team Lead,Never,30-39
More than 1000,Yes,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,Yes,"No, none did","Yes, I was aware of all of them",Some did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,Yes,Often,Often,Male,North America,North America,Back-end Developer,Always,20-29
100-500,Yes,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,Maybe,No,Maybe,I don't know,No,Yes,Some did,I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,Missing,Yes,Maybe,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Front-end Developer,Never,20-29
26-100,No,No,Yes,No,I don't know,Yes,Very easy,No,No,No,Yes,Yes,No,Yes,"No, none did",N/A (not currently aware),None did,"Yes, they all did",I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers","Yes, they all did",None of them,No,No,Maybe,"Yes, I think they would",Very open,No,Missing,I don't know,Yes,Maybe,Yes,Yes,Rarely,Often,Male,Europe,Europe,Back-end Developer,Sometimes,20-29
100-500,Yes,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Yes,Maybe,Maybe,Maybe,Somewhat open,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,Europe,Europe,Support,Sometimes,20-29
6-25,No,I don't know,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,Missing,Yes,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Executive Leadership|Supervisor/Team Lead|Back-end Developer,Sometimes,40-49
1-5,Yes,No,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Maybe,"No, I don't think they would",Very open,No,Missing,No,Yes,No,Yes,Yes,Not applicable to me,Not applicable to me,Male,Europe,Europe,Front-end Developer|Back-end Developer,Sometimes,40-49
26-100,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,Missing,Yes,Maybe,Maybe,No,No,Not applicable to me,Sometimes,Male,North America,North America,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Always,30-39
26-100,Yes,No,Missing,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,Yes,Some did,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,Missing,Yes,No,No,No,No,Not applicable to me,Not applicable to me,Male,Europe,Europe,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Sometimes,40-49
6-25,Yes,I don't know,I am not sure,No,No,No,Somewhat easy,No,No,Yes,Maybe,Yes,No,Yes,I don't know,N/A (not currently aware),None did,Some did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Female,Europe,Europe,Front-end Developer,Never,30-39
26-100,Yes,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,Yes,Some did,I was aware of some,I don't know,Some did,Sometimes,I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,Maybe,Maybe,Neutral,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Front-end Developer,Sometimes,30-39
26-100,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Yes,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,Missing,Yes,Yes,Yes,Yes,Yes,Rarely,Sometimes,Male,North America,North America,Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer,Always,30-39
1-5,Yes,Yes,Yes,No,I don't know,Yes,I don't know,No,No,Maybe,Yes,I don't know,No,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,Europe,Europe,Back-end Developer|DevOps/SysAdmin,Never,20-29
1-5,Yes,No,No,No,No,I don't know,Very difficult,Maybe,Maybe,No,No,I don't know,Yes,Yes,Some did,I was aware of some,None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,No,No,Often,Often,Male,South America,South America,Back-end Developer,Never,30-39
26-100,Yes,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Dev Evangelist/Advocate|Back-end Developer,Sometimes,30-39
6-25,Yes,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Yes,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Missing,No,Maybe,Maybe,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Never,40-49
26-100,Yes,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,Yes,I don't know,I was aware of some,None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,"Yes, I think it would",Maybe,Somewhat open,No,Missing,No,Maybe,Maybe,No,No,Not applicable to me,Rarely,Male,North America,North America,Back-end Developer|Supervisor/Team Lead,Never,40-49
26-100,Yes,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,"Yes, it has","Yes, they do",Neutral,"Yes, I experienced",No,I don't know,Yes,Yes,Yes,Yes,Sometimes,Often,Male,Europe,Europe,Back-end Developer,Sometimes,30-39
26-100,Yes,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No,No,"No, I don't think it would","No, I don't think they would",Very open,No,Missing,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,Female,North America,North America,Back-end Developer,Sometimes,20-29
100-500,No,No,Missing,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,No,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Maybe,Maybe,Somewhat open,Missing,Missing,I don't know,Yes,No,Yes,Yes,Never,Sometimes,Male,South America,South America,Other,Never,30-39
More than 1000,Yes,Yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Yes,"Yes, they all did","Yes, I was aware of all of them",I don't know,"Yes, they all did",I don't know,Some of them,None of them,Some of my previous employers,I don't know,I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Missing,Yes,Yes,Maybe,Yes,Yes,Rarely,Often,Male,North America,North America,Back-end Developer,Sometimes,30-39
6-25,Yes,No,Missing,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,No,Yes,No,No,Rarely,Sometimes,Male,Europe,Europe,Supervisor/Team Lead,Sometimes,20-29
6-25,Yes,No,Missing,No,No,I don't know,Somewhat difficult,Yes,No,No,Yes,No,Yes,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,Some did,None of them,Yes,Yes,Maybe,"Yes, I think they would",Not open at all,"Yes, I observed",Yes,No,No,No,No,No,Never,Sometimes,Male,South America,South America,Front-end Developer,Always,< 20
6-25,No,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,Yes,"No, none did",N/A (not currently aware),None did,None did,"Yes, always",None of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,Missing,Missing,No,Yes,Yes,Yes,Yes,Sometimes,Often,Female,North America,North America,Front-end Developer,Sometimes,20-29
100-500,Yes,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,Yes,Some did,I was aware of some,Some did,None did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,"No, I don't think it would",Maybe,Somewhat open,No,Missing,Yes,Yes,Yes,Yes,Yes,Rarely,Often,Male,North America,North America,Back-end Developer,Sometimes,20-29
26-100,Yes,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,Yes,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did",I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",Some of them,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,No,No,No,No,No,Not applicable to me,Not applicable to me,Female,North America,North America,Front-end Developer,Always,30-39
26-100,Yes,I don't know,I am not sure,Yes,I don't know,Yes,I don't know,No,No,No,No,Yes,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,I don't know,None did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Missing,I don't know,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Back-end Developer|DevOps/SysAdmin,Sometimes,40-49
100-500,Yes,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,No,Missing,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,Female,North America,North America,Back-end Developer,Sometimes,20-29
500-1000,Yes,Yes,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,No,I don't know,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Missing,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,DevOps/SysAdmin,Sometimes,40-49
100-500,Yes,I don't know,No,No,No,I don't know,I don't know,Yes,No,Maybe,Yes,No,No,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,No,"Yes, I think it would",Maybe,Very open,No,Missing,I don't know,Yes,Yes,Yes,Yes,Often,Often,Male,North America,North America,Back-end Developer,Sometimes,20-29
6-25,Yes,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Maybe,Maybe,Somewhat open,No,Missing,Yes,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Back-end Developer,Sometimes,30-39
26-100,Yes,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,No,Yes,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Missing,Yes,Maybe,No,No,No,Not applicable to me,Not applicable to me,Female,North America,North America,Designer,Sometimes,20-29
26-100,Yes,No,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Maybe,No,Yes,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,I don't know,Maybe,Maybe,No,No,Not applicable to me,Sometimes,Male,Europe,Europe,Back-end Developer|DevOps/SysAdmin|Dev Evangelist/Advocate|Supervisor/Team Lead,Never,20-29
26-100,Yes,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,No,No,Yes,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Maybe,No,Yes,Sometimes,Sometimes,Female,North America,North America,Back-end Developer,Never,30-39
More than 1000,Yes,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,No,No,Yes,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, they all did","Yes, always",I don't know,"Yes, all of them","No, at none of my previous employers",I don't know,None did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,No,Yes,Yes,Yes,Sometimes,Sometimes,Female,North America,North America,Supervisor/Team Lead,Always,30-39
6-25,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,No,Yes,Yes,No,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No,No,"Yes, I think it would","No, I don't think they would",Somewhat not open,No,Missing,No,Yes,Yes,Yes,Yes,Rarely,Often,Male,North America,North America,Front-end Developer|Back-end Developer|DevOps/SysAdmin|Supervisor/Team Lead,Sometimes,30-39
100-500,No,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Yes,Yes,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,Missing,No,No,Maybe,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Designer,Sometimes,30-39
26-100,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,Yes,"Yes, they all did","Yes, I was aware of all of them",I don't know,None did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Yes,No,Maybe,"No, I don't think they would",Somewhat open,No,Missing,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,Male,North America,North America,Back-end Developer,Always,30-39
